Zeit;Fahrradbruecke;Fahrradbruecke stadteinwaerts;Fahrradbruecke stadtauswaerts;Symbol Wetter;Temperatur (°C);Gefuehlte Temperatur (°C);Regen (mm);Quelle
01.01.2022 00:00;50;10;40;Sonnig;5;4;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
01.01.2022 01:00;150;84;66;Sonnig;5;4;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
01.01.2022 02:00;157;73;84;Sonnig;5;4;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
01.01.2022 03:00;121;56;65;Sonnig;5;4;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
01.01.2022 04:00;92;40;52;Sonnig;5;4;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
01.01.2022 05:00;59;18;41;Sonnig;4;4;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
01.01.2022 06:00;34;26;8;Sonnig;4;4;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
01.01.2022 07:00;21;8;13;Sonnig;4;4;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
01.01.2022 08:00;24;16;8;Sonnig;5;4;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
01.01.2022 09:00;33;17;16;Sonnig;5;4;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
01.01.2022 10:00;41;27;14;Sonnig;7;7;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
01.01.2022 11:00;61;33;28;Sonnig;9;9;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
01.01.2022 12:00;86;37;49;Sonnig;12;12;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
01.01.2022 13:00;139;68;71;Sonnig;11;11;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
01.01.2022 14:00;136;66;70;Sonnig;11;11;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
01.01.2022 15:00;185;89;96;Sonnig;11;11;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
01.01.2022 16:00;190;82;108;Sonnig;9;9;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
01.01.2022 17:00;159;71;88;Leicht bewoelkt;7;7;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
01.01.2022 18:00;89;34;55;Leicht bewoelkt;6;6;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
01.01.2022 19:00;60;29;31;Leicht bewoelkt;5;5;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
01.01.2022 20:00;51;19;32;Leicht bewoelkt;5;5;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
01.01.2022 21:00;47;21;26;Leicht bewoelkt;4;4;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
01.01.2022 22:00;31;17;14;Leicht bewoelkt;4;4;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
01.01.2022 23:00;21;13;8;Sonnig;3;3;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
02.01.2022 00:00;15;9;6;Sonnig;3;3;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
02.01.2022 01:00;14;1;13;Sonnig;3;3;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
02.01.2022 02:00;7;4;3;Sonnig;3;3;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
02.01.2022 03:00;3;0;3;Sonnig;3;3;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
02.01.2022 04:00;2;0;2;Sonnig;3;2;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
02.01.2022 05:00;9;4;5;Sonnig;2;2;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
02.01.2022 06:00;16;13;3;Sonnig;2;2;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
02.01.2022 07:00;17;10;7;Sonnig;3;2;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
02.01.2022 08:00;31;17;14;Leicht bewoelkt;3;2;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
02.01.2022 09:00;61;35;26;Leicht bewoelkt;3;3;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
02.01.2022 10:00;70;37;33;Leicht bewoelkt;5;4;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
02.01.2022 11:00;117;57;60;Leicht bewoelkt;7;6;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
02.01.2022 12:00;123;61;62;Leicht bewoelkt;8;8;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
02.01.2022 13:00;143;76;67;Leicht bewoelkt;8;8;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
02.01.2022 14:00;226;108;118;Bedeckt;8;8;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
02.01.2022 15:00;236;115;121;Bedeckt;9;8;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
02.01.2022 16:00;198;84;114;Bedeckt;8;7;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
02.01.2022 17:00;178;77;101;Sonnig;7;5;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
02.01.2022 18:00;119;50;69;Sonnig;6;4;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
02.01.2022 19:00;98;50;48;Sonnig;6;4;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
02.01.2022 20:00;78;36;42;Bedeckt;7;5;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
02.01.2022 21:00;57;26;31;Bedeckt;7;6;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
02.01.2022 22:00;52;27;25;Bedeckt;7;5;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
02.01.2022 23:00;31;14;17;Leicht bewoelkt;7;5;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
03.01.2022 00:00;27;14;13;Leicht bewoelkt;6;5;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
03.01.2022 01:00;11;5;6;Leicht bewoelkt;7;5;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
03.01.2022 02:00;5;4;1;Bedeckt;7;5;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
03.01.2022 03:00;6;4;2;Bedeckt;8;5;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
03.01.2022 04:00;8;4;4;Bedeckt;8;6;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
03.01.2022 05:00;35;20;15;Bedeckt;8;6;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
03.01.2022 06:00;93;52;41;Bedeckt;8;6;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
03.01.2022 07:00;217;134;83;Bedeckt;8;6;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
03.01.2022 08:00;267;146;121;Bedeckt;8;6;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
03.01.2022 09:00;285;169;116;Bedeckt;8;6;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
03.01.2022 10:00;278;150;128;Bedeckt;9;6;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
03.01.2022 11:00;343;190;153;Nieselregen;9;6;0.1;Stadt Konstanz, Amt für Stadtplanung und Umwelt
03.01.2022 12:00;338;159;179;Nieselregen;9;7;0.2;Stadt Konstanz, Amt für Stadtplanung und Umwelt
03.01.2022 13:00;379;180;199;Nieselregen;9;7;0.1;Stadt Konstanz, Amt für Stadtplanung und Umwelt
03.01.2022 14:00;405;209;196;Stellenweiser Regenfall;9;7;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
03.01.2022 15:00;402;193;209;Stellenweiser Regenfall;9;7;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
03.01.2022 16:00;466;211;255;Stellenweiser Regenfall;9;7;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
03.01.2022 17:00;422;181;241;Stellenweiser Regenfall;9;7;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
03.01.2022 18:00;330;158;172;Stellenweiser Regenfall;8;7;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
03.01.2022 19:00;193;79;114;Stellenweiser Regenfall;8;6;0;Stadt Konstanz, Amt für Stadtplanung und Umwelt
