Zeit;Fahrradbruecke;Fahrradbruecke stadteinwaerts Fahrraeder;Fahrradbruecke stadtauswaerts Fahrraeder;Symbol Wetter;Temperatur (°C);Gefuehlte Temperatur (°C);Regen (mm);Quelle
01.01.2023 00:00;69;25;44;Sonnig;6;4;0;Stadt Konstanz, Amt fuer Stadtplanung und Umwelt
01.01.2023 01:00;190;80;110;Sonnig;5;4;0;Stadt Konstanz, Amt fuer Stadtplanung und Umwelt
01.01.2023 02:00;183;83;100;Sonnig;5;4;0;Stadt Konstanz, Amt fuer Stadtplanung und Umwelt
01.01.2023 03:00;135;59;76;Sonnig;5;4;0;Stadt Konstanz, Amt fuer Stadtplanung und Umwelt
01.01.2023 04:00;93;43;50;Sonnig;5;4;0;Stadt Konstanz, Amt fuer Stadtplanung und Umwelt
01.01.2023 05:00;42;16;26;Sonnig;5;3;0;Stadt Konstanz, Amt fuer Stadtplanung und Umwelt
01.01.2023 06:00;42;20;22;Sonnig;5;3;0;Stadt Konstanz, Amt fuer Stadtplanung und Umwelt
01.01.2023 07:00;17;5;12;Sonnig;5;3;0;Stadt Konstanz, Amt fuer Stadtplanung und Umwelt
01.01.2023 08:00;36;18;18;Sonnig;5;4;0;Stadt Konstanz, Amt fuer Stadtplanung und Umwelt
01.01.2023 09:00;47;23;24;Sonnig;5;4;0;Stadt Konstanz, Amt fuer Stadtplanung und Umwelt
01.01.2023 10:00;107;50;57;Sonnig;7;7;0;Stadt Konstanz, Amt fuer Stadtplanung und Umwelt
01.01.2023 11:00;98;45;53;Sonnig;10;10;0;Stadt Konstanz, Amt fuer Stadtplanung und Umwelt
01.01.2023 12:00;158;65;93;Sonnig;12;13;0;Stadt Konstanz, Amt fuer Stadtplanung und Umwelt
01.01.2023 13:00;216;112;104;Sonnig;12;12;0;Stadt Konstanz, Amt fuer Stadtplanung und Umwelt
01.01.2023 14:00;237;125;112;Sonnig;11;11;0;Stadt Konstanz, Amt fuer Stadtplanung und Umwelt
01.01.2023 15:00;236;120;116;Sonnig;11;11;0;Stadt Konstanz, Amt fuer Stadtplanung und Umwelt
01.01.2023 16:00;245;102;143;Sonnig;10;10;0;Stadt Konstanz, Amt fuer Stadtplanung und Umwelt
01.01.2023 17:00;162;90;72;Bedeckt;8;8;0;Stadt Konstanz, Amt fuer Stadtplanung und Umwelt
01.01.2023 18:00;120;48;72;Bedeckt;7;7;0;Stadt Konstanz, Amt fuer Stadtplanung und Umwelt
01.01.2023 19:00;87;43;44;Bedeckt;7;7;0;Stadt Konstanz, Amt fuer Stadtplanung und Umwelt
01.01.2023 20:00;87;38;49;Bedeckt;7;7;0;Stadt Konstanz, Amt fuer Stadtplanung und Umwelt
01.01.2023 21:00;47;25;22;Bedeckt;6;6;0;Stadt Konstanz, Amt fuer Stadtplanung und Umwelt
01.01.2023 22:00;48;32;16;Bedeckt;6;6;0;Stadt Konstanz, Amt fuer Stadtplanung und Umwelt
01.01.2023 23:00;25;8;17;Sonnig;6;6;0;Stadt Konstanz, Amt fuer Stadtplanung und Umwelt
02.01.2023 00:00;13;6;7;Sonnig;6;5;0;Stadt Konstanz, Amt fuer Stadtplanung und Umwelt
02.01.2023 01:00;6;3;3;Sonnig;5;5;0;Stadt Konstanz, Amt fuer Stadtplanung und Umwelt
02.01.2023 02:00;3;1;2;Sonnig;5;5;0;Stadt Konstanz, Amt fuer Stadtplanung und Umwelt
02.01.2023 03:00;7;1;6;Sonnig;5;5;0;Stadt Konstanz, Amt fuer Stadtplanung und Umwelt
02.01.2023 04:00;8;6;2;Sonnig;5;4;0;Stadt Konstanz, Amt fuer Stadtplanung und Umwelt
02.01.2023 05:00;30;16;14;Sonnig;5;4;0;Stadt Konstanz, Amt fuer Stadtplanung und Umwelt
02.01.2023 06:00;83;48;35;Sonnig;5;4;0;Stadt Konstanz, Amt fuer Stadtplanung und Umwelt
02.01.2023 07:00;172;84;88;Sonnig;5;4;0;Stadt Konstanz, Amt fuer Stadtplanung und Umwelt
02.01.2023 08:00;232;133;99;Sonnig;5;5;0;Stadt Konstanz, Amt fuer Stadtplanung und Umwelt
02.01.2023 09:00;285;182;103;Sonnig;5;5;0;Stadt Konstanz, Amt fuer Stadtplanung und Umwelt
02.01.2023 10:00;281;163;118;Sonnig;7;7;0;Stadt Konstanz, Amt fuer Stadtplanung und Umwelt
02.01.2023 11:00;324;152;172;Sonnig;9;9;0;Stadt Konstanz, Amt fuer Stadtplanung und Umwelt
02.01.2023 12:00;376;190;186;Sonnig;11;10;0;Stadt Konstanz, Amt fuer Stadtplanung und Umwelt
02.01.2023 13:00;353;163;190;Sonnig;10;10;0;Stadt Konstanz, Amt fuer Stadtplanung und Umwelt
02.01.2023 14:00;421;221;200;Sonnig;10;10;0;Stadt Konstanz, Amt fuer Stadtplanung und Umwelt
02.01.2023 15:00;443;206;237;Sonnig;10;10;0;Stadt Konstanz, Amt fuer Stadtplanung und Umwelt
02.01.2023 16:00;451;203;248;Sonnig;9;9;0;Stadt Konstanz, Amt fuer Stadtplanung und Umwelt
02.01.2023 17:00;449;206;243;Sonnig;8;8;0;Stadt Konstanz, Amt fuer Stadtplanung und Umwelt
02.01.2023 18:00;279;115;164;Sonnig;7;7;0;Stadt Konstanz, Amt fuer Stadtplanung und Umwelt
02.01.2023 19:00;223;102;121;Sonnig;7;7;0;Stadt Konstanz, Amt fuer Stadtplanung und Umwelt
02.01.2023 20:00;132;63;69;Bedeckt;7;6;0;Stadt Konstanz, Amt fuer Stadtplanung und Umwelt
02.01.2023 21:00;122;40;82;Bedeckt;7;6;0;Stadt Konstanz, Amt fuer Stadtplanung und Umwelt
02.01.2023 22:00;53;23;30;Bedeckt;7;7;0;Stadt Konstanz, Amt fuer Stadtplanung und Umwelt
02.01.2023 23:00;53;36;17;Stellenweiser Regenfall;8;7;0;Stadt Konstanz, Amt fuer Stadtplanung und Umwelt
03.01.2023 00:00;41;9;32;Stellenweiser Regenfall;8;7;0.1;Stadt Konstanz, Amt fuer Stadtplanung und Umwelt
03.01.2023 01:00;10;4;6;Stellenweiser Regenfall;8;7;0;Stadt Konstanz, Amt fuer Stadtplanung und Umwelt
03.01.2023 02:00;7;3;4;Nieselregen;8;6;0.2;Stadt Konstanz, Amt fuer Stadtplanung und Umwelt
03.01.2023 03:00;11;8;3;Nieselregen;7;6;0.3;Stadt Konstanz, Amt fuer Stadtplanung und Umwelt
